# 予測X・Y・Z の標本を再現するための種。
# 人材サービス総合サイトの詳細検索（全国・四職種）で得た許可番号の一覧。
# 届出内容の値は含まない。値は fetch_jinzai_detail.py で取得し直すこと。
# 相異なる許可番号 1130 / 企業と職種の組 1402
許可・届出受理番号	職種
13-ユ-010444	4.看護師、准看護師
13-ユ-010547	4.看護師、准看護師
13-ユ-010591	7.施設介護の職業
13-ユ-010591	9.保育士
13-ユ-010724	4.看護師、准看護師
13-ユ-010724	7.施設介護の職業
13-ユ-010743	1.医師
13-ユ-010743	4.看護師、准看護師
13-ユ-040131	1.医師
13-ユ-040295	1.医師
13-ユ-040347	4.看護師、准看護師
13-ユ-040503	1.医師
13-ユ-050119	7.施設介護の職業
13-ユ-050127	4.看護師、准看護師
13-ユ-050149	1.医師
13-ユ-060040	4.看護師、准看護師
13-ユ-060049	4.看護師、准看護師
13-ユ-060049	7.施設介護の職業
13-ユ-070030	4.看護師、准看護師
13-ユ-070273	1.医師
13-ユ-070273	4.看護師、准看護師
13-ユ-070303	4.看護師、准看護師
13-ユ-070309	4.看護師、准看護師
13-ユ-070309	7.施設介護の職業
13-ユ-070309	9.保育士
13-ユ-070381	9.保育士
13-ユ-080058	1.医師
13-ユ-080060	4.看護師、准看護師
13-ユ-080160	1.医師
13-ユ-080244	7.施設介護の職業
13-ユ-080248	1.医師
13-ユ-080248	4.看護師、准看護師
13-ユ-080459	9.保育士
13-ユ-080509	1.医師
13-ユ-130023	4.看護師、准看護師
13-ユ-300011	7.施設介護の職業
13-ユ-300018	4.看護師、准看護師
13-ユ-300085	1.医師
13-ユ-300085	4.看護師、准看護師
13-ユ-300161	1.医師
13-ユ-300180	1.医師
13-ユ-300196	9.保育士
13-ユ-300230	4.看護師、准看護師
13-ユ-300261	1.医師
13-ユ-300351	9.保育士
13-ユ-300384	1.医師
13-ユ-300437	4.看護師、准看護師
13-ユ-300445	7.施設介護の職業
13-ユ-300474	4.看護師、准看護師
13-ユ-300474	7.施設介護の職業
13-ユ-300594	9.保育士
13-ユ-300714	4.看護師、准看護師
13-ユ-300808	4.看護師、准看護師
13-ユ-300808	7.施設介護の職業
13-ユ-300875	4.看護師、准看護師
13-ユ-301300	1.医師
13-ユ-301346	4.看護師、准看護師
13-ユ-301346	7.施設介護の職業
13-ユ-301387	1.医師
13-ユ-301433	7.施設介護の職業
13-ユ-301433	9.保育士
13-ユ-301517	9.保育士
13-ユ-301617	1.医師
13-ユ-301667	1.医師
13-ユ-301846	4.看護師、准看護師
13-ユ-301963	4.看護師、准看護師
13-ユ-302014	1.医師
13-ユ-302190	1.医師
13-ユ-302190	4.看護師、准看護師
13-ユ-302265	9.保育士
13-ユ-302518	7.施設介護の職業
13-ユ-302895	7.施設介護の職業
13-ユ-303513	1.医師
13-ユ-303680	4.看護師、准看護師
13-ユ-303680	9.保育士
13-ユ-303689	9.保育士
13-ユ-303765	4.看護師、准看護師
13-ユ-303778	7.施設介護の職業
13-ユ-303831	9.保育士
13-ユ-303923	4.看護師、准看護師
13-ユ-303923	7.施設介護の職業
13-ユ-303938	1.医師
13-ユ-303978	4.看護師、准看護師
13-ユ-303978	7.施設介護の職業
13-ユ-303987	9.保育士
13-ユ-304042	4.看護師、准看護師
13-ユ-304051	4.看護師、准看護師
13-ユ-304051	7.施設介護の職業
13-ユ-304051	9.保育士
13-ユ-304061	7.施設介護の職業
13-ユ-304079	9.保育士
13-ユ-304097	4.看護師、准看護師
13-ユ-304124	4.看護師、准看護師
13-ユ-304124	9.保育士
13-ユ-304183	4.看護師、准看護師
13-ユ-304183	7.施設介護の職業
13-ユ-304204	7.施設介護の職業
13-ユ-304234	1.医師
13-ユ-304266	4.看護師、准看護師
13-ユ-304266	7.施設介護の職業
13-ユ-304334	1.医師
13-ユ-304334	7.施設介護の職業
13-ユ-304348	4.看護師、准看護師
13-ユ-304348	7.施設介護の職業
13-ユ-304348	9.保育士
13-ユ-304437	1.医師
13-ユ-304472	1.医師
13-ユ-304501	4.看護師、准看護師
13-ユ-304501	7.施設介護の職業
13-ユ-304603	4.看護師、准看護師
13-ユ-304617	1.医師
13-ユ-304641	1.医師
13-ユ-304696	1.医師
13-ユ-304725	1.医師
13-ユ-304824	1.医師
13-ユ-304936	4.看護師、准看護師
13-ユ-304945	1.医師
13-ユ-305117	9.保育士
13-ユ-305224	1.医師
13-ユ-305224	7.施設介護の職業
13-ユ-305240	1.医師
13-ユ-305242	9.保育士
13-ユ-305255	4.看護師、准看護師
13-ユ-305255	7.施設介護の職業
13-ユ-305255	9.保育士
13-ユ-305280	1.医師
13-ユ-305280	4.看護師、准看護師
13-ユ-305280	7.施設介護の職業
13-ユ-305419	7.施設介護の職業
13-ユ-305517	1.医師
13-ユ-305581	4.看護師、准看護師
13-ユ-305642	1.医師
13-ユ-305650	9.保育士
13-ユ-305768	1.医師
13-ユ-305803	1.医師
13-ユ-305829	7.施設介護の職業
13-ユ-305865	1.医師
13-ユ-305865	4.看護師、准看護師
13-ユ-305912	4.看護師、准看護師
13-ユ-305912	7.施設介護の職業
13-ユ-305912	9.保育士
13-ユ-305979	1.医師
13-ユ-306074	9.保育士
13-ユ-306160	9.保育士
13-ユ-306195	1.医師
13-ユ-306266	7.施設介護の職業
13-ユ-306373	4.看護師、准看護師
13-ユ-306453	1.医師
13-ユ-306463	1.医師
13-ユ-306478	4.看護師、准看護師
13-ユ-306478	7.施設介護の職業
13-ユ-306478	9.保育士
13-ユ-306543	4.看護師、准看護師
13-ユ-306543	9.保育士
13-ユ-306559	4.看護師、准看護師
13-ユ-306600	7.施設介護の職業
13-ユ-306670	7.施設介護の職業
13-ユ-306701	4.看護師、准看護師
13-ユ-306732	9.保育士
13-ユ-306861	4.看護師、准看護師
13-ユ-306912	1.医師
13-ユ-307131	1.医師
13-ユ-307171	7.施設介護の職業
13-ユ-307175	9.保育士
13-ユ-307213	7.施設介護の職業
13-ユ-307247	1.医師
13-ユ-307249	4.看護師、准看護師
13-ユ-307249	7.施設介護の職業
13-ユ-307249	9.保育士
13-ユ-307392	1.医師
13-ユ-307392	4.看護師、准看護師
13-ユ-307392	7.施設介護の職業
13-ユ-307447	1.医師
13-ユ-307503	7.施設介護の職業
13-ユ-307556	1.医師
13-ユ-307556	4.看護師、准看護師
13-ユ-307556	7.施設介護の職業
13-ユ-307562	4.看護師、准看護師
13-ユ-307597	7.施設介護の職業
13-ユ-307623	1.医師
13-ユ-307662	1.医師
13-ユ-307733	7.施設介護の職業
13-ユ-307803	4.看護師、准看護師
13-ユ-307815	7.施設介護の職業
13-ユ-307838	9.保育士
13-ユ-307866	1.医師
13-ユ-307913	9.保育士
13-ユ-307952	1.医師
13-ユ-307952	4.看護師、准看護師
13-ユ-308085	1.医師
13-ユ-308114	7.施設介護の職業
13-ユ-308163	1.医師
13-ユ-308194	9.保育士
13-ユ-308197	4.看護師、准看護師
13-ユ-308197	9.保育士
13-ユ-308203	9.保育士
13-ユ-308219	7.施設介護の職業
13-ユ-308296	1.医師
13-ユ-308296	4.看護師、准看護師
13-ユ-308324	7.施設介護の職業
13-ユ-308329	9.保育士
13-ユ-308354	4.看護師、准看護師
13-ユ-308379	1.医師
13-ユ-308417	1.医師
13-ユ-308469	1.医師
13-ユ-308485	1.医師
13-ユ-308490	1.医師
13-ユ-308612	4.看護師、准看護師
13-ユ-308614	4.看護師、准看護師
13-ユ-308643	4.看護師、准看護師
13-ユ-308744	1.医師
13-ユ-308799	1.医師
13-ユ-308877	7.施設介護の職業
13-ユ-308921	1.医師
13-ユ-308953	1.医師
13-ユ-308953	4.看護師、准看護師
13-ユ-308997	9.保育士
13-ユ-309066	7.施設介護の職業
13-ユ-309118	7.施設介護の職業
13-ユ-309132	4.看護師、准看護師
13-ユ-309190	4.看護師、准看護師
13-ユ-309329	7.施設介護の職業
13-ユ-309349	1.医師
13-ユ-309420	4.看護師、准看護師
13-ユ-309420	7.施設介護の職業
13-ユ-309519	4.看護師、准看護師
13-ユ-309519	9.保育士
13-ユ-309561	4.看護師、准看護師
13-ユ-309562	7.施設介護の職業
13-ユ-309580	4.看護師、准看護師
13-ユ-309624	4.看護師、准看護師
13-ユ-309644	7.施設介護の職業
13-ユ-309652	7.施設介護の職業
13-ユ-309668	1.医師
13-ユ-309668	4.看護師、准看護師
13-ユ-309677	4.看護師、准看護師
13-ユ-309686	1.医師
13-ユ-309686	4.看護師、准看護師
13-ユ-309731	1.医師
13-ユ-309811	4.看護師、准看護師
13-ユ-309826	4.看護師、准看護師
13-ユ-309826	9.保育士
13-ユ-309873	1.医師
13-ユ-309927	1.医師
13-ユ-309965	1.医師
13-ユ-309972	4.看護師、准看護師
13-ユ-309972	7.施設介護の職業
13-ユ-309985	1.医師
13-ユ-310013	7.施設介護の職業
13-ユ-310184	1.医師
13-ユ-310227	4.看護師、准看護師
13-ユ-310249	9.保育士
13-ユ-310312	1.医師
13-ユ-310312	4.看護師、准看護師
13-ユ-310353	7.施設介護の職業
13-ユ-310377	4.看護師、准看護師
13-ユ-310377	9.保育士
13-ユ-310412	1.医師
13-ユ-310500	7.施設介護の職業
13-ユ-310554	7.施設介護の職業
13-ユ-310587	4.看護師、准看護師
13-ユ-310587	7.施設介護の職業
13-ユ-310700	1.医師
13-ユ-310710	7.施設介護の職業
13-ユ-310770	1.医師
13-ユ-310798	4.看護師、准看護師
13-ユ-310842	1.医師
13-ユ-310861	7.施設介護の職業
13-ユ-310915	1.医師
13-ユ-310915	4.看護師、准看護師
13-ユ-310925	4.看護師、准看護師
13-ユ-311056	9.保育士
13-ユ-311091	9.保育士
13-ユ-311111	7.施設介護の職業
13-ユ-311233	7.施設介護の職業
13-ユ-311263	1.医師
13-ユ-311263	4.看護師、准看護師
13-ユ-311336	4.看護師、准看護師
13-ユ-311336	7.施設介護の職業
13-ユ-311353	9.保育士
13-ユ-311430	4.看護師、准看護師
13-ユ-311431	4.看護師、准看護師
13-ユ-311454	4.看護師、准看護師
13-ユ-311463	4.看護師、准看護師
13-ユ-311463	7.施設介護の職業
13-ユ-311526	9.保育士
13-ユ-311539	1.医師
13-ユ-311578	9.保育士
13-ユ-311688	7.施設介護の職業
13-ユ-311760	7.施設介護の職業
13-ユ-311848	7.施設介護の職業
13-ユ-311892	1.医師
13-ユ-311894	9.保育士
13-ユ-311896	7.施設介護の職業
13-ユ-311934	4.看護師、准看護師
13-ユ-311934	9.保育士
13-ユ-311939	4.看護師、准看護師
13-ユ-311979	9.保育士
13-ユ-312010	4.看護師、准看護師
13-ユ-312010	9.保育士
13-ユ-312059	1.医師
13-ユ-312059	4.看護師、准看護師
13-ユ-312061	1.医師
13-ユ-312086	4.看護師、准看護師
13-ユ-312148	4.看護師、准看護師
13-ユ-312186	7.施設介護の職業
13-ユ-312239	4.看護師、准看護師
13-ユ-312251	4.看護師、准看護師
13-ユ-312251	7.施設介護の職業
13-ユ-312265	1.医師
13-ユ-312265	4.看護師、准看護師
13-ユ-312277	1.医師
13-ユ-312346	4.看護師、准看護師
13-ユ-312364	1.医師
13-ユ-312364	4.看護師、准看護師
13-ユ-312402	4.看護師、准看護師
13-ユ-312404	1.医師
13-ユ-312454	1.医師
13-ユ-312454	4.看護師、准看護師
13-ユ-312505	4.看護師、准看護師
13-ユ-312550	7.施設介護の職業
13-ユ-312567	1.医師
13-ユ-312567	4.看護師、准看護師
13-ユ-312593	7.施設介護の職業
13-ユ-312601	4.看護師、准看護師
13-ユ-312670	4.看護師、准看護師
13-ユ-312670	9.保育士
13-ユ-312703	1.医師
13-ユ-312757	4.看護師、准看護師
13-ユ-312802	4.看護師、准看護師
13-ユ-312880	7.施設介護の職業
13-ユ-312924	4.看護師、准看護師
13-ユ-312950	1.医師
13-ユ-312969	9.保育士
13-ユ-313062	4.看護師、准看護師
13-ユ-313070	9.保育士
13-ユ-313071	4.看護師、准看護師
13-ユ-313155	4.看護師、准看護師
13-ユ-313155	9.保育士
13-ユ-313165	1.医師
13-ユ-313187	4.看護師、准看護師
13-ユ-313187	9.保育士
13-ユ-313204	1.医師
13-ユ-313241	7.施設介護の職業
13-ユ-313247	7.施設介護の職業
13-ユ-313247	9.保育士
13-ユ-313364	1.医師
13-ユ-313402	1.医師
13-ユ-313425	4.看護師、准看護師
13-ユ-313425	7.施設介護の職業
13-ユ-313425	9.保育士
13-ユ-313426	7.施設介護の職業
13-ユ-313426	9.保育士
13-ユ-313472	7.施設介護の職業
13-ユ-313591	1.医師
13-ユ-313612	1.医師
13-ユ-313658	9.保育士
13-ユ-313822	1.医師
13-ユ-313822	4.看護師、准看護師
13-ユ-313822	7.施設介護の職業
13-ユ-313822	9.保育士
13-ユ-313949	4.看護師、准看護師
13-ユ-313949	9.保育士
13-ユ-313981	9.保育士
13-ユ-314024	7.施設介護の職業
13-ユ-314055	4.看護師、准看護師
13-ユ-314063	1.医師
13-ユ-314063	4.看護師、准看護師
13-ユ-314079	4.看護師、准看護師
13-ユ-314116	4.看護師、准看護師
13-ユ-314168	4.看護師、准看護師
13-ユ-314220	1.医師
13-ユ-314220	4.看護師、准看護師
13-ユ-314270	9.保育士
13-ユ-314384	9.保育士
13-ユ-314461	4.看護師、准看護師
13-ユ-314509	4.看護師、准看護師
13-ユ-314549	7.施設介護の職業
13-ユ-314725	1.医師
13-ユ-314725	4.看護師、准看護師
13-ユ-314771	9.保育士
13-ユ-314813	4.看護師、准看護師
13-ユ-314813	7.施設介護の職業
13-ユ-314857	7.施設介護の職業
13-ユ-314863	1.医師
13-ユ-314883	4.看護師、准看護師
13-ユ-314888	4.看護師、准看護師
13-ユ-314903	4.看護師、准看護師
13-ユ-314950	7.施設介護の職業
13-ユ-315017	4.看護師、准看護師
13-ユ-315023	4.看護師、准看護師
13-ユ-315023	7.施設介護の職業
13-ユ-315065	7.施設介護の職業
13-ユ-315177	7.施設介護の職業
13-ユ-315189	4.看護師、准看護師
13-ユ-315257	1.医師
13-ユ-315407	4.看護師、准看護師
13-ユ-315488	1.医師
13-ユ-315528	7.施設介護の職業
13-ユ-315584	4.看護師、准看護師
13-ユ-315584	7.施設介護の職業
13-ユ-315584	9.保育士
13-ユ-315608	1.医師
13-ユ-315628	4.看護師、准看護師
13-ユ-315628	9.保育士
13-ユ-315680	4.看護師、准看護師
13-ユ-315716	1.医師
13-ユ-315716	4.看護師、准看護師
13-ユ-315726	4.看護師、准看護師
13-ユ-315730	4.看護師、准看護師
13-ユ-315730	7.施設介護の職業
13-ユ-315837	7.施設介護の職業
13-ユ-315883	1.医師
13-ユ-315902	4.看護師、准看護師
13-ユ-316072	4.看護師、准看護師
13-ユ-316075	1.医師
13-ユ-316075	4.看護師、准看護師
13-ユ-316087	9.保育士
13-ユ-316088	4.看護師、准看護師
13-ユ-316088	7.施設介護の職業
13-ユ-316336	4.看護師、准看護師
13-ユ-316432	9.保育士
13-ユ-316438	4.看護師、准看護師
13-ユ-316438	9.保育士
13-ユ-316463	7.施設介護の職業
13-ユ-316569	4.看護師、准看護師
13-ユ-316746	4.看護師、准看護師
13-ユ-316985	7.施設介護の職業
13-ユ-317181	1.医師
13-ユ-317181	4.看護師、准看護師
13-ユ-317181	7.施設介護の職業
13-ユ-317274	7.施設介護の職業
13-ユ-317633	7.施設介護の職業
13-ユ-317835	4.看護師、准看護師
13-ユ-317949	4.看護師、准看護師
13-ユ-318038	1.医師
13-ユ-318132	9.保育士
13-ユ-318344	7.施設介護の職業
13-ユ-318397	4.看護師、准看護師
13-ユ-318587	9.保育士
13-ユ-318664	7.施設介護の職業
13-ユ-318812	9.保育士
13-ユ-318883	1.医師
13-ユ-319046	7.施設介護の職業
13-ユ-319050	7.施設介護の職業
13-ユ-319253	7.施設介護の職業
13-ユ-899999	1.医師
13-ユ-899999	4.看護師、准看護師
13-ユ-899999	7.施設介護の職業
13-ユ-899999	9.保育士
13-特-000253	7.施設介護の職業
14-ユ-300294	9.保育士
14-ユ-300355	7.施設介護の職業
14-ユ-300395	9.保育士
14-ユ-300402	1.医師
14-ユ-300493	1.医師
14-ユ-300493	4.看護師、准看護師
14-ユ-300567	7.施設介護の職業
14-ユ-300734	1.医師
14-ユ-300747	9.保育士
14-ユ-300772	7.施設介護の職業
14-ユ-301000	7.施設介護の職業
14-ユ-301019	4.看護師、准看護師
14-ユ-301028	4.看護師、准看護師
14-ユ-301030	1.医師
14-ユ-301160	4.看護師、准看護師
14-ユ-301194	4.看護師、准看護師
14-ユ-301197	4.看護師、准看護師
14-ユ-301257	1.医師
14-ユ-301257	4.看護師、准看護師
14-ユ-301257	9.保育士
14-ユ-301272	1.医師
14-ユ-301272	4.看護師、准看護師
14-ユ-301288	9.保育士
14-ユ-301298	1.医師
14-ユ-301373	1.医師
14-ユ-301402	1.医師
14-ユ-301457	9.保育士
14-ユ-301479	9.保育士
14-ユ-301520	9.保育士
14-ユ-301521	1.医師
14-ユ-301583	4.看護師、准看護師
14-ユ-301641	9.保育士
14-ユ-301699	1.医師
14-ユ-301699	4.看護師、准看護師
14-ユ-301702	1.医師
14-ユ-301710	1.医師
14-ユ-301715	4.看護師、准看護師
14-ユ-301715	7.施設介護の職業
14-ユ-301757	1.医師
14-ユ-301766	1.医師
14-ユ-301774	4.看護師、准看護師
14-ユ-301776	9.保育士
14-ユ-301797	4.看護師、准看護師
14-ユ-301820	4.看護師、准看護師
14-ユ-301820	9.保育士
14-ユ-301853	4.看護師、准看護師
14-ユ-301864	1.医師
14-ユ-301944	7.施設介護の職業
14-ユ-302005	7.施設介護の職業
14-ユ-302023	1.医師
14-ユ-302035	7.施設介護の職業
14-ユ-302060	9.保育士
14-ユ-302119	7.施設介護の職業
14-ユ-302129	4.看護師、准看護師
14-ユ-302159	4.看護師、准看護師
14-ユ-302177	4.看護師、准看護師
14-ユ-302206	7.施設介護の職業
14-ユ-302297	7.施設介護の職業
14-ユ-302308	4.看護師、准看護師
14-ユ-302393	7.施設介護の職業
15-ユ-010001	4.看護師、准看護師
15-ユ-010027	9.保育士
15-ユ-010034	4.看護師、准看護師
15-ユ-300066	7.施設介護の職業
15-ユ-300096	4.看護師、准看護師
15-ユ-300096	7.施設介護の職業
15-ユ-300098	4.看護師、准看護師
15-ユ-300098	9.保育士
15-ユ-300110	4.看護師、准看護師
15-ユ-300110	7.施設介護の職業
15-ユ-300180	1.医師
15-ユ-300204	4.看護師、准看護師
15-ユ-300223	4.看護師、准看護師
15-ユ-300226	4.看護師、准看護師
16-ム-010002	4.看護師、准看護師
16-ユ-300097	9.保育士
16-ユ-300128	7.施設介護の職業
16-ユ-300157	7.施設介護の職業
16-ユ-300196	7.施設介護の職業
16-ユ-300202	7.施設介護の職業
16-ユ-900001	4.看護師、准看護師
17-ユ-010025	4.看護師、准看護師
17-ユ-010036	4.看護師、准看護師
17-ユ-010036	7.施設介護の職業
